dataset,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,1.006171070730174,0.9394383687448927,#CC79A7,SL_{0.1},13.809378259118935,0.9001575878023242,0.12390029122472337,0.07876394800303206,1.7004921307224068,0.07547058732008224
Boston,1.0603325517982294,0.8508527018219626,#CC79A7,SL_{0.25},14.552727378270323,0.8152759575600547,0.13642482730842484,0.08209342365843786,1.8723874091011663,0.07866084745244276
Boston,1.1149323014195494,0.7457580107714614,#CC79A7,SL_{0.5},15.30209159406598,0.7145755957968456,0.14840559431300968,0.0686433760365345,2.036819629638594,0.0657731873078669
Boston,1.1216670599951004,0.6843940105307926,#CC79A7,SL_{0.75},15.394524015707898,0.6557774114004177,0.1437961508805494,0.05558649659294598,1.9735564830678396,0.053262255781971315
Boston,1.122459105978722,0.6552956519464581,#CC79A7,SL_{0.9},15.405394595179544,0.6278957438597613,0.14159811275177606,0.051837875908439586,1.943389108124164,0.049670376351435216
Carseats,1.0053212539129628,0.9193122873887578,#CC79A7,SL_{0.1},5.501095954159777,0.46219538005117045,0.05390169370163661,0.0419972366718674,0.2949488912029948,0.021114619080952454
Carseats,1.0141690148532925,0.8163242247421099,#CC79A7,SL_{0.25},5.549510708869056,0.41041688496447104,0.05766007037576476,0.03859426912803138,0.31551464631439,0.019403735957990373
Carseats,1.02964573721348,0.6915500823534073,#CC79A7,SL_{0.5},5.634198995750388,0.3476851745837549,0.061881098963118185,0.03103758116632234,0.3386120225947617,0.015604519617359392
Carseats,1.0380028791484952,0.6072118279900591,#CC79A7,SL_{0.75},5.679929093973331,0.3052830963530352,0.06606709927534707,0.025616070806282597,0.361517724918357,0.012878789660646348
Carseats,1.0409615023002758,0.55969919848133,#CC79A7,SL_{0.9},5.696118615269926,0.28139554676377243,0.0675756403786404,0.022074392289051604,0.3697724289024917,0.011098167916820554
College,1.0039629995841466,0.9411955770829682,#CC79A7,SL_{0.1},0.0369088883955365,0.05948114895780895,0.03810792146514414,0.0433737282404038,0.0014009689808543472,0.0027411084934322416
College,1.0126818888749425,0.8613002475885886,#CC79A7,SL_{0.25},0.037229422630264596,0.05443196884009416,0.04065683456666707,0.03853568687389251,0.0014946751724500518,0.0024353566750084997
College,1.0142258977747576,0.7560297995408148,#CC79A7,SL_{0.5},0.03728618533186674,0.047779146245462534,0.03664782057440059,0.035083189041996136,0.0013472910058243916,0.0022171676579584992
College,1.0407057052329438,0.6895605218039685,#CC79A7,SL_{0.75},0.03825966767993566,0.04357845819884329,0.0408543457398573,0.029166238815766733,0.0015019363143956906,0.0018432315639608243
College,1.0557716060088569,0.6591559614730582,#CC79A7,SL_{0.9},0.03881353834105238,0.04165696788792979,0.043368550136589336,0.02825384388920815,0.0015943665030789264,0.0017855705423236651
Hitters,1.0110024601170715,0.939281030438819,#CC79A7,SL_{0.1},0.2215431764556608,0.12878645836086247,0.16325203432731225,0.06083325000488387,0.035773774718147806,0.008340952882919125
Hitters,1.0236052761460923,0.8548868187000959,#CC79A7,SL_{0.25},0.2243048590484334,0.11721502097017109,0.15963170701588078,0.04811155690844453,0.03498044448995941,0.006596659380601901
Hitters,1.0458587365442147,0.7582813107393075,#CC79A7,SL_{0.5},0.22918130841252235,0.10396927148174635,0.16039954900624628,0.04085747982666262,0.035148703381774477,0.005602040234931586
Hitters,1.0653953762880162,0.6859626577457535,#CC79A7,SL_{0.75},0.23346241493486505,0.09405353498686922,0.16230360866986956,0.0373118979656722,0.035565944133089125,0.005115899329379451
Hitters,1.0785727878148543,0.6443673527604545,#CC79A7,SL_{0.9},0.2363500098936163,0.08835033025910644,0.1617653900767405,0.03498498742889339,0.035448003117658264,0.004796852572080079
Wage,1.0015030672704266,0.9262936888693903,#CC79A7,SL_{0.1},0.08405102735657623,0.027450263834040412,0.0485008983869788,0.06178442364915393,0.004070432203720576,0.0018309514038398478
Wage,1.002705855635155,0.8339573198839635,#CC79A7,SL_{0.25},0.08415197122889355,0.024713920360491533,0.0485378304857456,0.05110309803279002,0.004073531725774207,0.001514415504060197
Wage,1.0038135467054723,0.7171836142797882,#CC79A7,SL_{0.5},0.08424493407194068,0.021253388278462897,0.04839282135663976,0.037513844433155474,0.004061361851636283,0.0011117045700442694
Wage,1.0054280043183765,0.6404763261649309,#CC79A7,SL_{0.75},0.08438042723758629,0.018980205029944096,0.04811175564041177,0.02857927199642913,0.004037773444395492,0.0008469328528453355
Wage,1.006264482231967,0.6084630559531763,#CC79A7,SL_{0.9},0.08445062854829219,0.01803150730689721,0.04797643903549888,0.025907699494722786,0.004026417014212675,0.0007677620985750376
