loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se,method,m
0.986417559,704.2053749,#1f77b4,tree,0.252075406,0.018563232,0.006583339,29.73416903,0.001682348,0.000783809,tree,baseline
0.985783257,106.3394121,#D55E00,NU,0.251913312,0.002803164,0.006686358,11.85738416,0.001708674,0.000312567,tree,NU
0.997369363,660.2286076,#009E73,"TR_{0,5}",0.254874099,0.017403981,0.014087442,97.34187992,0.003599994,0.002565984,tree,"TR_{0,5}"
1.005405749,752.6834641,#009E73,"TR_{5,5}",0.256927768,0.019841141,0.015085892,103.7738132,0.003855144,0.002735534,tree,"TR_{5,5}"
1.005379295,746.8196784,#009E73,"TR_{10,5}",0.256921008,0.019686568,0.01511103,106.8175489,0.003861569,0.002815768,tree,"TR_{10,5}"
0.98590521,534.8968885,#CC79A7,SL_{0.1},0.251944476,0.01410017,0.006377848,15.6148991,0.001629836,0.000411617,tree,SL_{0.1}
0.98562743,497.373973,#CC79A7,SL_{0.25},0.251873491,0.013111045,0.006626211,15.34346047,0.001693304,0.000404462,tree,SL_{0.25}
0.985433401,420.5160314,#CC79A7,SL_{0.5},0.251823907,0.011085029,0.006561306,7.634559077,0.001676718,0.000201251,tree,SL_{0.5}
0.985217284,346.4360827,#CC79A7,SL_{0.75},0.251768679,0.009132241,0.006525834,5.364536395,0.001667653,0.000141412,tree,SL_{0.75}
0.985314516,328.4225236,#CC79A7,SL_{0.9},0.251793527,0.008657394,0.006671854,7.273474736,0.001704968,0.000191733,tree,SL_{0.9}
0.985277109,312.8062961,#F0E442,ABU,0.251783968,0.008245742,0.00668923,21.50465404,0.001709408,0.000566874,tree,ABU
0.985370267,292.2626714,#E69F00,BABU_{1},0.251807774,0.007704201,0.006774227,21.92617957,0.001731129,0.000577986,tree,BABU_{1}
0.985275994,208.8597596,#E69F00,BABU_{3},0.251783683,0.005505656,0.006723225,14.97031439,0.001718096,0.000394626,tree,BABU_{3}
0.985417089,188.9526216,#E69F00,BABU_{5},0.251819739,0.004980893,0.006797665,8.148169977,0.001737119,0.00021479,tree,BABU_{5}
0.985523257,168.0774586,#E69F00,BABU_{7},0.25184687,0.004430612,0.006842721,16.4137642,0.001748632,0.000432676,tree,BABU_{7}
0.985697808,143.0387127,#E69F00,BABU_{10},0.251891476,0.003770577,0.006864582,18.49880402,0.001754219,0.000487638,tree,BABU_{10}
0.986165237,95.41453941,#E69F00,BABU_{20},0.252010926,0.002515179,0.006855161,9.35235049,0.001751811,0.000246533,tree,BABU_{20}
0.982108522,266.3150802,#1f77b4,rf,0.250974247,0.007020209,0.006615867,7.295602749,0.001690661,0.000192316,rf,baseline
0.983824075,165.9419314,#D55E00,rf_{NU},0.25141265,0.004374319,0.006705959,3.177051843,0.001713683,8.37E-05,rf,NU
0.981717649,272.3281108,#009E73,rf_{TR},0.25087436,0.007178715,0.006475018,12.27728081,0.001654667,0.000323636,rf,"TR_{0,5}"
0.981417078,209.5282215,#F0E442,rf_{ABU},0.250797551,0.005523277,0.006454746,9.422694879,0.001649487,0.000248387,rf,ABU
0.981605172,305.9529968,#E69F00,rf_{BABU_{5}},0.250845618,0.008065086,0.006369172,9.794868818,0.001627619,0.000258198,rf,BABU_{5}
0.98201344,286.7964633,#CC79A7,rf_{SL_{0.1}},0.250949949,0.007560109,0.006521555,4.694614853,0.00166656,0.000123753,rf,SL_{0.1}
0.981830683,253.7026613,#CC79A7,rf_{SL_{0.25}},0.250903246,0.006687739,0.006456832,3.799318723,0.00165002,0.000100152,rf,SL_{0.25}
0.981885921,214.7648005,#CC79A7,rf_{SL_{0.5}},0.250917362,0.005661316,0.006600857,3.568223765,0.001686825,9.41E-05,rf,SL_{0.5}
0.981908169,186.9820756,#CC79A7,rf_{SL_{0.75}},0.250923047,0.004928948,0.006614104,2.595958834,0.00169021,6.84E-05,rf,SL_{0.75}
0.981875919,184.2605,#CC79A7,rf_{SL_{0.9}},0.250914806,0.004857206,0.006553443,8.706233696,0.001674709,0.000229501,rf,SL_{0.9}
0.980990061,214.0736261,#E69F00,rf_{BABU_{1}},0.250688428,0.005643096,0.006432549,4.508551318,0.001643814,0.000118848,rf,BABU_{1}
0.975635541,129.1741474,#1f77b4,GTB,0.2493201,0.0034051,0.008937584,3.244619094,0.002283963,9.44E-05,GTB,baseline
0.975923551,90.87747049,#CC79A7,GTB_{SL_{0.5}},0.2493937,0.002395579,0.008937584,3.244619094,0.002283963,9.44E-05,GTB,SL_{0.5}
0.975687195,114.3614375,#CC79A7,GTB_{SL_{0.1}},0.2493333,0.003014629,0.008937584,3.244619094,0.002283963,9.44E-05,GTB,SL_{0.1}
0.975728674,105.2541878,#CC79A7,GTB_{SL_{0.25}},0.2493439,0.002774557,0.008937584,3.244619094,0.002283963,9.44E-05,GTB,SL_{0.25}
