dataset,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,1.0,1.0,#3776ab,baseline,20.8173504979355,12.765373052395812,0.11449924723141278,0.14568926688255185,2.3835709613660905,1.859777841485829
Boston,1.157985362264544,0.0443503564813042,#D55E00,NU,24.109780909771743,0.5837785839358817,0.1243358069447859,0.0067289039305976,2.5887279428266488,0.0885717797939414
Boston,1.0819201422766664,0.8470079352025472,#009E73,"TR_{0,5}",22.52271081254961,10.812372271200015,0.11560111395975473,0.12699161911382256,2.406508907251999,1.621095392515704
Boston,1.14702793441647,0.6970289127994361,#009E73,"TR_{5,5}",23.87808254167063,8.897834100190673,0.12978810201208296,0.14535222820430668,2.7018444100473387,1.855475417024943
Boston,1.1341712234567742,0.5022525065578141,#009E73,"TR_{10,5}",23.610439883371996,6.411440612711371,0.12974003264852038,0.09513758678420857,2.7008437332578437,1.2144667866051042
Boston,0.9813678975744076,0.8692601415123941,#CC79A7,SL_{0.1},20.432525119429776,11.441970138344333,0.1012571504181492,0.1296569360216337,2.1082198373865664,1.7066591683447192
Boston,1.013754696604853,0.5945093150364906,#CC79A7,SL_{0.25},21.106832977230194,7.825456965943353,0.1072818114117735,0.1060142519034073,2.233656014168519,1.3954532671971196
Boston,1.0208362931125907,0.4445604003279267,#CC79A7,SL_{0.5},21.25427503121184,5.851696842319802,0.1170270119395465,0.061303488884703,2.4365555129902705,0.8069306939286309
Boston,1.0323213022727975,0.2859424889637443,#CC79A7,SL_{0.75},21.493398135546947,3.763827724016687,0.1211991644008257,0.0510465692660506,2.523421621182601,0.6719200539793184
Boston,1.0445032056034815,0.2207092984397955,#CC79A7,SL_{0.9},21.747030892866476,2.90517082447759,0.1228929236582591,0.0352304264726336,2.5586864578043333,0.4637340059785345
Boston,1.024687425309052,0.9777148468594338,#F0E442,ABU,21.334457351763515,12.869546810368778,0.1116724383911769,0.1488864382285733,2.3250708610046966,1.959774869294976
Boston,0.9368016047335496,0.8622443355556354,#E69F00,BABU_{1},19.50463467161568,11.349621900549852,0.111089541344044,0.1700453453437826,2.312934679877292,2.238287102642068
Boston,1.0039911499553011,0.6617486924989414,#E69F00,BABU_{3},20.903551503824787,8.71052107081265,0.1221021728518862,0.1421507102667434,2.542222667054341,1.871113265571633
Boston,0.8449438275817056,0.766120674176859,#E69F00,BABU_{5},17.59211405247883,10.084357326045488,0.0786807863270754,0.1898302403752901,1.6381696884705397,2.498713374743903
Boston,1.014760555911722,0.5427222379480154,#E69F00,BABU_{7},21.127775424609013,7.143789693626554,0.1182879198637719,0.1236534873198883,2.4628081883617603,1.6276364713498468
Boston,1.1804083473073377,0.6908809677794678,#E69F00,BABU_{10},24.576637637276164,9.093985821930607,0.1613409474683683,0.2014905774658759,3.3591917670101763,2.6521970356436
Boston,1.202238407666169,0.6551654629282188,#E69F00,BABU_{20},25.031149403702344,8.623866785674235,0.2004593907440708,0.2510029059959736,4.173655513826572,3.303922057264408
Carseats,1.0,1.0,#3776ab,baseline,6.210775351583905,2.173051696958227,0.047780471194751,0.10166137703495524,0.29675377278342435,0.22091542788091967
Carseats,1.1394273290317278,0.0651158570165791,#D55E00,NU,6.90805978278504,0.1457123190350984,0.0510383251141523,0.0112583355286142,0.3094324597264124,0.0251932210295863
Carseats,1.0381182556525896,0.8900213012970501,#009E73,"TR_{0,5}",6.447519274236383,1.9340622991125245,0.058066647685335364,0.0974272553138743,0.3606389041931875,0.211714462489797
Carseats,1.007202798834706,0.8105306783345995,#009E73,"TR_{5,5}",6.255510317048914,1.7613250659917044,0.04754215666723191,0.10864918147502038,0.29527365478998435,0.23610028817741546
