dataset,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,1.2277843003683486,0.4775959631382414,#D55E00,NU,17.650806903276013,0.5760294223814271,0.2495227287345611,0.0423177087130742,3.587175289300351,0.0510394709920148
Boston,1.016147862473476,0.7074295396395763,#CC79A7,SL_{0.1},14.608290479292696,0.8532321471406409,0.245152389812034,0.030145074189017,3.5243466569418382,0.0363580327577404
Wage,1.0099714388787762,0.4282023405758018,#D55E00,NU,0.0791584451900925,0.0165252356972367,0.0428829545463021,0.0189301855678198,0.0033610336652798,0.0007305559747291
Wage,0.9895960875992714,0.7911929506408752,#CC79A7,SL_{0.1},0.0775614880233848,0.0305338125283276,0.0461934806301061,0.0412585788467035,0.0036205024853546,0.0015922559859387
Boston,1.0498109327413072,0.6379339610966867,#CC79A7,SL_{0.25},15.092235707204996,0.7694133943541215,0.2479765320973267,0.0333972542962859,3.564946940012832,0.0402804935263801
Wage,0.9927669783119166,0.7146359568598093,#CC79A7,SL_{0.25},0.0778100126539025,0.0275793159116048,0.0459692897674238,0.0387180618476866,0.0036029310972613,0.0014942120515101
Carseats,1.1195731341032185,0.6139356951611408,#D55E00,NU,5.708658783690504,0.3448817116622978,0.0733451066436303,0.0233937629715341,0.3739837751798668,0.01314157342444
Carseats,1.0093318541848717,0.8166512860069264,#CC79A7,SL_{0.1},5.146542891694534,0.4587582959732629,0.0547436171053118,0.0528309358614938,0.2791355214945842,0.0296780651984255
Carseats,1.0228662661211023,0.6943563872034643,#CC79A7,SL_{0.25},5.2155543186646325,0.390058472263167,0.0612855176532952,0.0475786575052426,0.3124924116232394,0.0267275693013669
College,1.184772077373176,0.4217789045019048,#D55E00,NU,0.0562390886866767,0.0320694145596703,0.0699125489339189,0.0271822029378588,0.0033186282111946,0.0020667637128242
College,0.924201698086113,0.7981325519382934,#CC79A7,SL_{0.1},0.0438702618467187,0.06068497833457,0.0702881355401694,0.0301171418911695,0.0033364566601105,0.002289918007637
College,0.9540810484178828,0.7143928905549138,#CC79A7,SL_{0.25},0.0452885831131469,0.0543179412748066,0.0689472141461466,0.0275107596964939,0.0032728054324689,0.0020917451018566
Hitters,1.0934442651999117,0.6494197791367589,#D55E00,NU,0.2297535814299952,0.0740781943979697,0.1950186985097785,0.0889655576256577,0.0409771634956138,0.0101481477531798
