dataset,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,1.0,1.0,#3776ab,baseline,14.80168281913836,2.681198526057625,0.24237403351959816,0.15750534438714195,3.5875435677523013,0.4223030972170035
Boston,0.9781573741876249,0.7807048153183114,#009E73,"TR_{0,5}",14.478375199926461,2.093224600117547,0.22734938831674986,0.13113128390402842,3.3651535349896515,0.351589005123525
Boston,1.0038222914630412,0.4812937754450027,#F0E442,ABU,14.858259165016596,1.2904441613238509,0.2442785179661125,0.06264972562896214,3.615733142463588,0.16797635201428793
Carseats,1.0,1.0,#3776ab,baseline,5.0942905608075195,0.335192727328694,0.05801119641695741,0.10393288468142003,0.2955258903280572,0.034837547075503815
Carseats,0.9934180465576615,1.0636998938351885,#009E73,"TR_{0,5}",5.06076017751454,0.35654446847385907,0.05582300145123477,0.11499637254785496,0.28437858936896976,0.038545947747222066
Carseats,1.0658532178295106,0.3238974456561094,#F0E442,ABU,5.429765986795196,0.10856806818426876,0.06138249356344046,0.0256845851576783,0.312700257559063,0.008609286149308282
College,1.0,1.0,#3776ab,baseline,0.05103005014331772,0.007285986759558963,0.09673850763939627,0.07395387883222176,0.004936570895628117,0.0005388269819895956
College,0.881587441054627,1.1899780015773203,#009E73,"TR_{0,5}",0.04498745132273677,0.00867016396365879,0.07343106480805707,0.07206743136237467,0.0037471909192323648,0.0005250823507016863
College,1.2846537940542713,0.2571217780063353,#F0E442,ABU,0.06555594752739281,0.001873385870148418,0.0807757633737704,0.009552941420015438,0.004121991255328269,6.960260470107489e-05
Hitters,1.0,1.0,#3776ab,baseline,0.20696896802204173,0.01777489730037795,0.18753093143236277,0.18850929032443914,0.03881308335076839,0.003350733275684036
Hitters,1.0113533997790751,0.8956981078057997,#009E73,"TR_{0,5}",0.20931876945785857,0.015920941878390948,0.19685137790466334,0.17492130935763045,0.04074212653864512,0.003109208309479522
Hitters,1.1396633300948344,0.16061037624296046,#F0E442,ABU,0.23587494332229136,0.0028548329430936846,0.19315967522223892,0.014315320230516413,0.03997805864421953,0.000254453346919452
Wage,1.0,1.0,#3776ab,baseline,0.08425512666462157,0.0027050949408670955,0.04422925387585072,0.057549633161132124,0.003726541387591507,0.00015567722151293577
Wage,1.0047981327194093,1.1174451664902059,#009E73,"TR_{0,5}",0.08465939394464907,0.003022795266569045,0.045580383109763103,0.04508665175393,0.0038403809523350667,0.00012196367356019263
Wage,1.0078419686723268,0.1781442308694115,#F0E442,ABU,0.08491585272840844,0.0004818970576695049,0.04573380301032912,0.007899898033419067,0.0038533073654901315,2.1369974203567837e-05
Boston,1.1029853797872258,0.1569937861519118,#E69F00,BABU_{1},16.326039745757377,0.42093150803071194,0.25004814267962644,0.015278983580158705,3.701133297458484,0.04096598825478017
Boston,1.169449446177286,0.12227963921772228,#E69F00,BABU_{3},17.309819775333203,0.32785598843741515,0.2627951596232106,0.014559736115510667,3.889810599147599,0.03903754301269518
Carseats,1.1187959540261223,0.23855021490885636,#E69F00,BABU_{1},5.699471668064919,0.07996029714014564,0.07085170027663604,0.03170886138008433,0.3609391479364304,0.010628579726477962
Carseats,1.1535215903461167,0.2120025516462613,#E69F00,BABU_{3},5.8763741493879005,0.07106171348695263,0.08894419553052138,0.005146373720823078,0.4531075757297535,0.0017250270433354065
College,1.326714729090004,0.35828301745187446,#E69F00,BABU_{1},0.06770231915134109,0.00261044532132919,0.07876294253438094,0.029565069972740606,0.00401927690696471,0.00021541070836682234
College,1.4409596142286736,0.43148975101042364,#E69F00,BABU_{3},0.07353224136858497,0.0031438286127473403,0.09842440712593714,0.03524696115980308,0.005022602430962891,0.0002568088923250143
Hitters,1.1361475121506264,0.09191297027659821,#E69F00,BABU_{1},0.23514727811062525,0.0016337436072392242,0.19680981642724094,0.004289572653260626,0.040733524602553535,7.624671337421737e-05
Hitters,1.156066724736083,0.09710676713914955,#E69F00,BABU_{3},0.2392699369832489,0.0017260628130700995,0.19718179031505553,0.009451094217510132,0.040810511654245665,0.00016799222909243851
Wage,1.0105574618530788,0.12683470237805666,#E69F00,BABU_{1},0.08514464695030963,0.0003430999117292648,0.047320134716014005,0.007369684740468816,0.003986963944284716,1.993569690722763e-05
Wage,1.0167720240017426,0.10740584470844267,#E69F00,BABU_{3},0.08566825567131046,0.00029054300714036516,0.048754389244735095,0.004995471831764504,0.00410780724127142,1.351322557935024e-05
