dataset,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,1.2277843,0.477595963,#D55E00,NU,17.6508069,0.576029422,0.249522729,0.042317709,3.587175289,0.051039471
Boston,1.016147862,0.70742954,#CC79A7,SL_{0.1},14.60829048,0.853232147,0.24515239,0.030145074,3.524346657,0.036358033
Wage,1.009971439,0.428202341,#D55E00,NU,0.079158445,0.016525236,0.042882955,0.018930186,0.003361034,0.000730556
Wage,0.989596088,0.791192951,#CC79A7,SL_{0.1},0.077561488,0.030533813,0.046193481,0.041258579,0.003620502,0.001592256
Boston,1.049810933,0.637933961,#CC79A7,SL_{0.25},15.09223571,0.769413394,0.247976532,0.033397254,3.56494694,0.040280494
Wage,0.992766978,0.714635957,#CC79A7,SL_{0.25},0.077810013,0.027579316,0.04596929,0.038718062,0.003602931,0.001494212
Carseats,1.119573134,0.613935695,#D55E00,NU,5.708658784,0.344881712,0.073345107,0.023393763,0.373983775,0.013141573
Carseats,1.009331854,0.816651286,#CC79A7,SL_{0.1},5.146542892,0.458758296,0.054743617,0.052830936,0.279135521,0.029678065
Carseats,1.022866266,0.694356387,#CC79A7,SL_{0.25},5.215554319,0.390058472,0.061285518,0.047578658,0.312492412,0.026727569
College,1.184772077,0.421778905,#D55E00,NU,0.056239089,0.032069415,0.069912549,0.027182203,0.003318628,0.002066764
College,0.924201698,0.798132552,#CC79A7,SL_{0.1},0.043870262,0.060684978,0.070288136,0.030117142,0.003336457,0.002289918
College,0.954081048,0.714392891,#CC79A7,SL_{0.25},0.045288583,0.054317941,0.068947214,0.02751076,0.003272805,0.002091745
Hitters,1.093444265,0.649419779,#D55E00,NU,0.229753581,0.074078194,0.195018699,0.088965558,0.040977163,0.010148148
Hitters,0.977902783,0.79796087,#CC79A7,SL_{0.1},0.205476103,0.091022021,0.183812375,0.068492351,0.0386225,0.007812804
Hitters,1.006591039,0.737748891,#CC79A7,SL_{0.25},0.211504055,0.084153744,0.184196642,0.059427129,0.038703242,0.00677875
Boston,1.070866035,0.549886695,#CC79A7,SL_{0.5},15.39492694,0.663219416,0.241786872,0.028461025,3.475963484,0.034326898
Boston,1.116316884,0.474581549,#CC79A7,SL_{0.75},16.048335,0.572393732,0.249158352,0.019442196,3.581936961,0.02344927
Boston,1.130389288,0.440557702,#CC79A7,SL_{0.9},16.25064195,0.531357503,0.250356978,0.020570366,3.599168578,0.024809959
Boston,0.994986944,0.775959333,#F0E442,ABU,14.30407802,0.935886065,0.242229169,0.026707219,3.48232201,0.032211628
Carseats,1.042085856,0.606436595,#CC79A7,SL_{0.5},5.313554242,0.340669051,0.07209638,0.035797618,0.36761657,0.020109506
Carseats,1.060638815,0.534249677,#CC79A7,SL_{0.75},5.408155039,0.300117658,0.073503353,0.027547829,0.374790668,0.015475142
Carseats,1.060461077,0.494707157,#CC79A7,SL_{0.9},5.407248763,0.277904433,0.070200394,0.020187523,0.357949011,0.011340451
