dataset,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,1.0668783644437647,0.2948880046559559,#D55E00,NU,22.805289003650966,0.6166859783570544,0.04276331575976498,0.008919244141633071,0.9140964960558319,0.01865241282399964
Boston,0.9984047769508457,0.8899909587675605,#009E73,"TR_{0,5}",21.341617038846483,1.8611979343711866,0.05214699871355738,0.02684348386805573,1.1146794386028394,0.056136566595841056
Boston,0.9608384742352639,0.852766320892936,#009E73,"TR_{5,5}",20.538610418055047,1.7833517288143264,0.05129244804147453,0.024794160909429843,1.0964128060657046,0.05185090996092898
Boston,0.9684306081539336,0.8244481125981238,#009E73,"TR_{10,5}",20.700897717094946,1.724131137566542,0.052067608748440616,0.025963657734936786,1.1129824212493928,0.05429662590269696
Boston,0.9993315338972805,0.8741809892552818,#CC79A7,SL_{0.1},21.361427132202913,1.8281352584992066,0.049816885597463355,0.03170968972653507,1.0648716022133304,0.06631304333732234
Boston,0.9897910002195602,0.7534315383265995,#CC79A7,SL_{0.25},21.15749139311525,1.5756173801646542,0.047200753510515246,0.0303005128666425,1.0089499055111184,0.06336609535435894
Boston,0.9748361410284218,0.5871370274701297,#CC79A7,SL_{0.5},20.837820569121522,1.2278531730631272,0.04556937494427246,0.02615796997437533,0.9740780204701978,0.05470298232138111
Boston,0.9632699555134084,0.48990252913591076,#CC79A7,SL_{0.75},20.59058507149547,1.0245110540601727,0.044933717751356995,0.0209041224405354,0.9604903927941557,0.04371584803518003
Boston,0.9745412134613802,0.4323666041255093,#CC79A7,SL_{0.9},20.8315162811861,0.9041887701913741,0.043291074728322235,0.019028260328658588,0.925377721923124,0.0397929422422661
Boston,0.9753748985223226,0.904691855181096,#F0E442,ABU,20.84933689634379,1.8919412557147721,0.051561254258992766,0.027183331845884777,1.102158731450252,0.05684727533743497
Carseats,1.0654245690197282,0.24238614718361992,#D55E00,NU,6.958359489776963,0.28874552826672906,0.023641992120995665,0.0158284118858255,0.15440744001588363,0.018855793553803044
Carseats,1.0092637931308959,0.9284501078850447,#009E73,"TR_{0,5}",6.591569686704515,1.1060277989710363,0.023675361713137867,0.0355771876655425,0.15462537906563384,0.042381769610577165
Carseats,1.0147662760065888,0.9002662507441128,#009E73,"TR_{5,5}",6.627506772302833,1.0724534267830603,0.02367983376129914,0.03571459813885008,0.15465458631283518,0.04254546155488007
Carseats,1.0093981077539071,0.9005749151110771,#009E73,"TR_{10,5}",6.592446904537502,1.0728211270692847,0.02471969330043118,0.03524931525366518,0.16144597887365433,0.04199118750070153
Carseats,0.9843300784481638,0.852122111282794,#CC79A7,SL_{0.1},6.428725919794192,1.0151011187273753,0.023466135472003217,0.03260321185757667,0.1532589084183039,0.0388389837471877
Carseats,0.9839307723368594,0.6656763829258049,#CC79A7,SL_{0.25},6.426118024735533,0.7929953137832881,0.02234392110375655,0.026049619606453155,0.14592965093174348,0.03103193504171085
Carseats,0.9895186616797227,0.5306565923169494,#CC79A7,SL_{0.5},6.4626129057128985,0.6321513001347566,0.02341618839276673,0.023377467510176976,0.15293270068582068,0.02784870044842443
Carseats,1.0007764622112747,0.41777408504006824,#CC79A7,SL_{0.75},6.536138357857124,0.49767860202695574,0.02329315887908352,0.019439275816738554,0.15212918666056416,0.02315728035635092
Carseats,1.0068532235716023,0.3774266563019426,#CC79A7,SL_{0.9},6.575826094847881,0.4496142230986966,0.02328756967194228,0.018460502291369238,0.152092683172957,0.02199130415713292
Carseats,0.9973264750421328,0.8854665264079068,#F0E442,ABU,6.513606259709532,1.0548230701339136,0.02296545651436289,0.03462036460061339,0.14998894048483144,0.04124194217179432
College,1.2594218714091843,0.20658082520669366,#D55E00,NU,0.07471741243586262,0.028293633836649016,0.028823228733148503,0.007946927208984047,0.001709988620872665,0.0010884236150791222
College,1.1072829334204082,0.7394575260640303,#009E73,"TR_{0,5}",0.06569150298064381,0.10127726258851301,0.02862174297667559,0.022279154740392552,0.0016980351248217405,0.003051387977485362
College,1.1228559810332448,0.7010313789669563,#009E73,"TR_{5,5}",0.066615401356388,0.09601435721174333,0.0272000339577118,0.021809971604992037,0.0016136897425910466,0.0029871279193600694
College,1.1300355358069665,0.6741916724143882,#009E73,"TR_{10,5}",0.06704134104134345,0.09233834890496237,0.02752571572755223,0.02247400160166495,0.0016330113850624303,0.0030780745092171703
College,0.9966600763241695,0.8691350877854159,#CC79A7,SL_{0.1},0.05912860787287121,0.11903810483756146,0.021181162290112292,0.01735554548264355,0.0012566096195633523,0.0023770427309984113
College,1.0101007923717042,0.7315039042369788,#CC79A7,SL_{0.25},0.05992600193688988,0.10018792206804304,0.01952411778955411,0.01676349849752029,0.0011583025469426023,0.002295955047306523
College,1.019188934744682,0.5756456542239455,#CC79A7,SL_{0.5},0.060465171930180396,0.07884133168688132,0.021805087990338097,0.01237856153751955,0.00129362510653512,0.0016953872036118522
College,1.0348686081652543,0.48229934859515383,#CC79A7,SL_{0.75},0.06139539606906538,0.06605647525685004,0.021404045456013005,0.011323107390486963,0.0012698325544747344,0.0015508305481834806
College,1.0426642638665122,0.42633363530975027,#CC79A7,SL_{0.9},0.06185788702262262,0.058391323384599784,0.021986289598639346,0.010149356284742943,0.0013043752099030541,0.0013900717557444658
College,0.9971929280144566,0.9115760575342137,#F0E442,ABU,0.059160220234395294,0.12485088662185008,0.019691632563642675,0.019346128755484308,0.0011682406548545058,0.0026496761382217736
Hitters,1.0871521743694748,0.2597401940101844,#D55E00,NU,0.3216243041851337,0.07380500754804248,0.04222840749815303,0.013032685683025676,0.012492898877120715,0.0037032291781889564
Hitters,0.9824026643773279,0.8664955165454997,#009E73,"TR_{0,5}",0.2906350930523892,0.24621413864223893,0.03462731391021543,0.034523853615310955,0.010244182925571076,0.009809930597671112
Hitters,0.9892810267780625,0.8570121285418202,#009E73,"TR_{5,5}",0.29266999540849453,0.24351944009602494,0.03430274626160957,0.034131099833995246,0.01014816247268056,0.009698329865620407
Hitters,0.9810773100835175,0.853203570579568,#009E73,"TR_{10,5}",0.2902429987691829,0.2424372408229307,0.033638369847130555,0.03379614715742381,0.00995161261787504,0.009603153279967969
Hitters,0.9872658255248675,0.8530614937319155,#CC79A7,SL_{0.1},0.29207381603624816,0.2423968697788828,0.04003678162805703,0.034709923817598694,0.011844525850674272,0.009862802324885477
Hitters,0.9764434252683403,0.7002233491467625,#CC79A7,SL_{0.25},0.2888721051496031,0.19896801019200758,0.03965846915516442,0.030470279682743812,0.011732605469399948,0.008658110195635317
Hitters,0.9851906643902825,0.543832892994797,#CC79A7,SL_{0.5},0.29145989806623623,0.15452976357898993,0.0438487268573014,0.02567477664889954,0.012972255952174206,0.007295471121008077
Hitters,0.9839961798328922,0.44011681476987713,#CC79A7,SL_{0.75},0.2911065204308989,0.125058907266534,0.04344633623478567,0.020987675469830065,0.012853212264428922,0.005963634363058719
Hitters,0.9924249936769239,0.39433049664295383,#CC79A7,SL_{0.9},0.2936001100603958,0.1120487546875991,0.04440641771506854,0.01889502014188295,0.013137243833639647,0.005369007709824862
Hitters,0.9832724391831296,0.9072530119442648,#F0E442,ABU,0.2908924081949321,0.25779535450683944,0.04309732383310196,0.03406043734680228,0.012749960048695087,0.009678251165746811
Wage,1.0139872805180978,0.31193688470718156,#D55E00,NU,0.0838349087564966,0.019910157233854364,0.01049061444943195,0.010157626371302679,0.0008673478672418269,0.0006483360836446983
Wage,1.0046538910169318,1.0014993471245146,#009E73,"TR_{0,5}",0.08306323846806922,0.06392321795984297,0.009587709640718495,0.022340899511209596,0.0007926970864000611,0.0014259641735906666
Wage,1.0098766218245354,1.00007338717376,#009E73,"TR_{5,5}",0.08349504581824768,0.06383220247491449,0.009448384835191196,0.021496387749033587,0.0007811779257721986,0.0013720610835904331
Wage,1.0131162800334073,0.9963027730021966,#009E73,"TR_{10,5}",0.08376289577609354,0.06359153352967419,0.009719635839963901,0.018465022620514002,0.0008036045416402086,0.0011785765702129782
Wage,0.99939027342328,0.8564220155796316,#CC79A7,SL_{0.1},0.08262805066130756,0.05466329191795115,0.010565570462664863,0.0207513506929285,0.0008735451151273438,0.001324507217217673
Wage,0.9973376489385762,0.6954601207663752,#CC79A7,SL_{0.25},0.08245834282601935,0.04438949362250616,0.010636605361604752,0.018419401585681314,0.0008794181713141138,0.0011756646927748788
Wage,0.9993907451277327,0.556553314419294,#CC79A7,SL_{0.5},0.08262808966110619,0.0355234168909292,0.010360254496201819,0.01579778012624957,0.000856569906813206,0.001008333100956455
Wage,1.0014075683525323,0.46352312789190037,#CC79A7,SL_{0.75},0.08279483750329081,0.02958553095290065,0.01038057422327861,0.012594116186405907,0.0008582499105944854,0.0008038511820368866
Wage,1.0021337888948305,0.4215182599155299,#CC79A7,SL_{0.9},0.08285488030074045,0.02690446447119267,0.010505824819588578,0.011335664823596329,0.000868605437251563,0.0007235273545798759
Wage,1.0039509816548884,0.8361824394309985,#F0E442,ABU,0.08300512300314851,0.05337144999985246,0.010422705978340429,0.019512433005847363,0.0008617332993008544,0.0012454301758067356
Boston,0.952652166917026,0.8171681230653097,#E69F00,BABU_{1},20.363622237127363,1.7089068239403895,0.053899384757428594,0.025415597628548094,1.1521379451283547,0.053150492531483365
Boston,0.9247050183655223,0.7053621469734709,#E69F00,BABU_{3},19.76623192461756,1.4750920309894058,0.04595163835218366,0.024914461590303225,0.9822491745431186,0.05210248934669605
Carseats,0.9875640690466645,0.7686246683449841,#E69F00,BABU_{1},6.4498473298172705,0.915633745900434,0.024670130630760224,0.030432854452951328,0.16112228174588777,0.03625351835402145
Carseats,0.9942502754006156,0.6371385779563397,#E69F00,BABU_{3},6.49351539303495,0.7589992968193369,0.025759852773822024,0.023635697059957966,0.16823933032528257,0.028156319628117505
