dataset,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,1.0,1.0,#3776ab,baseline,20.7859779920305,2.402497251066361,0.07666229905281904,0.0350992489816376,1.5935008609303571,0.0843258491928781
Boston,1.156472630812426,0.22946332322074295,#D55E00,NU,24.0384146524527,0.5512850032583868,0.07385336561654349,0.01026376932045234,1.535114432342855,0.024658677577966
Boston,1.0019109180036894,0.8792116773034084,#009E73,"TR_{0,5}",20.82569829159976,2.112303637826883,0.07135676804748768,0.04338537721042785,1.483220210217504,0.10423324948453007
Boston,1.0745406502315193,0.7488800504993679,#009E73,"TR_{5,5}",22.335378307254505,1.7991822627031688,0.07849289297355093,0.04492106612368155,1.631551545879035,0.10792273787711515
Boston,1.0642204482635482,0.6329350913545675,#009E73,"TR_{10,5}",22.120862816274947,1.5206248170827845,0.07325442158531446,0.03372398199794337,1.5226647948912706,0.08102177404507038
Boston,1.0112929735650646,0.9008873984127515,#CC79A7,SL_{0.1},21.020713492018515,2.164379498206961,0.08043448707906649,0.0362327653279048,1.6719094782257375,0.08704911909882385
Boston,1.0254699089167585,0.7569271623993991,#CC79A7,SL_{0.25},21.315394958233263,1.8185154269220172,0.08241829982286605,0.03250405953590856,1.7131449662586649,0.07809091368351766
Boston,1.0170239013155604,0.5870587808424385,#CC79A7,SL_{0.5},21.139836430114237,1.4104071071883275,0.07956281415161418,0.024453587982327357,1.6537909039394652,0.05874967790625088
Boston,1.012185143106337,0.4497366018653605,#CC79A7,SL_{0.75},21.039258108468562,1.0804909496854551,0.07757225779680829,0.019154413115301028,1.6124152433565735,0.046018424855300166
Boston,1.016480460158623,0.4162463638103213,#CC79A7,SL_{0.9},21.128540474186174,1.0000307448206653,0.07926555673041465,0.017026253242762697,1.6476121177244436,0.04090552661169709
Boston,0.9505614953550507,0.9382105412777424,#F0E442,ABU,19.758350322521686,2.2540482463412586,0.07336300261093595,0.039222609022401794,1.5249217577001908,0.09423221035597096
Boston,0.8895134899363897,0.8197584124535819,#E69F00,BABU_{1},18.48940782543204,1.9694673324582548,0.07106082404326398,0.04218394378071268,1.477068724658837,0.10134680897230014
Boston,0.8571605960041173,0.6713771236359476,#E69F00,BABU_{3},17.81692128417733,1.6129816939642043,0.06455855016234438,0.03688679023330713,1.3419126028718873,0.08862041213618188
Boston,0.7837820339980809,0.6231536058492412,#E69F00,BABU_{5},16.29167610923301,1.4971248250448925,0.049249638868951055,0.036149828122485406,1.0237019096454665,0.08684986269079263
Boston,0.8751455958546986,0.5184610308023966,#E69F00,BABU_{7},18.190757095258185,1.2456012012877897,0.06741624811722628,0.029329597989312547,1.401312649669933,0.07046427854420487
Boston,1.0006767611894951,0.4731027587559701,#E69F00,BABU_{10},20.800045135221204,1.1366280773831299,0.08321135508693787,0.030165483546514743,1.7296293955241258,0.07247249129758922
Boston,1.0133778212844653,0.30803523564599944,#E69F00,BABU_{20},21.064049090830714,0.7400538068710923,0.09828435185619708,0.025040093016708242,2.042936374643894,0.06015875463908752
Carseats,1.0,1.0,#3776ab,baseline,6.114596388489742,1.2010949728160585,0.026671914813679715,0.03290966228799523,0.16308799399383206,0.0395276299311853
Carseats,1.1026792667127323,0.2514563410008556,#D55E00,NU,6.742438661904191,0.3020229470588482,0.03338905240651787,0.01332947396987834,0.20416057925998887,0.016009964175503384
Carseats,1.0395144556199554,0.8747500781476812,#009E73,"TR_{0,5}",6.35621133611666,1.0506579213336342,0.029502304757762964,0.04342978569863882,0.18039468612394116,0.052163297273113834
Carseats,1.0321903759123765,0.8435352394376432,#009E73,"TR_{5,5}",6.311427544787687,1.0131659354817435,0.02927846894782053,0.049636542526419455,0.17902602048885247,0.059618201696452926
Carseats,1.0565918564930168,0.758739856159963,#009E73,"TR_{10,5}",6.460632749819872,0.9113186269089109,0.03215998337099087,0.05068019629518999,0.19664531817415093,0.06087172899148372
Carseats,0.9844277806363404,0.8898795305155588,#CC79A7,SL_{0.1},6.0193785522079395,1.068829830514152,0.02797434919765337,0.03005648320954892,0.17105185457432218,0.03610069088351948
Carseats,1.0068622878787787,0.7005511293632044,#CC79A7,SL_{0.25},6.1565565091701,0.841428439678757,0.0271795811215597,0.024754953958805496,0.16619216856655292,0.029733050752214267
Carseats,1.0353084958192857,0.5199298704718999,#CC79A7,SL_{0.5},6.330493589509352,0.6244851536407033,0.030045914080227217,0.022168888242625612,0.18371863772383043,0.02662694022113865
Carseats,1.0401664349028799,0.42032335565084783,#CC79A7,SL_{0.75},6.3601979262854,0.5048482694294095,0.03053772073315227,0.01780279727998531,0.1867258369076412,0.021382850315053756
Carseats,1.0472214534409363,0.37867052771599363,#CC79A7,SL_{0.9},6.4033365171589285,0.4548192671932839,0.02866034346850884,0.017978757886182573,0.17524643266541973,0.02159419571457096
Carseats,0.9823526853014752,0.9227443440269977,#F0E442,ABU,6.006690181767601,1.1083035928052785,0.02788684434976352,0.030518773149213137,0.1705167977474396,0.03665594500603361
Carseats,1.0014151021995072,0.8022687057586009,#E69F00,BABU_{1},6.123249167288193,0.9636009093343012,0.025919883199976824,0.029463829682523125,0.15848962420465423,0.03538885771158709
Carseats,1.032208746612844,0.6229853083408079,#E69F00,BABU_{3},6.311539874206419,0.7482645219864065,0.02423916590691358,0.026616625621709765,0.14821271631441746,0.0319690952275627
Carseats,1.0600981292116531,0.4916033083389943,#E69F00,BABU_{5},6.482072192322306,0.5904622622657087,0.030488372837993556,0.024871475628132553,0.18642409444612418,0.02987300434346713
Carseats,1.048331056282432,0.42766570562414913,#E69F00,BABU_{7},6.410121290686195,0.5136671290709979,0.02943757753231327,0.023886720232597164,0.17999890526496953,0.02869021958843608
Carseats,1.0665591090599669,0.3555661040198531,#E69F00,BABU_{10},6.52157847636891,0.4270686600420373,0.02770410760412455,0.019793789856986207,0.1693994363025112,0.023774221490203626
Carseats,1.0942880784920976,0.23540271601384627,#E69F00,BABU_{20},6.69112993271516,0.282741018791477,0.027987331355435425,0.01682618958898293,0.1711312352294112,0.0202098517269773
College,1.0,1.0,#3776ab,baseline,0.054735441240662215,0.13907768328604436,0.034430669625944585,0.024914639155850266,0.001884577894187543,0.003465070293703423
College,1.291808892460415,0.20851888428749293,#D55E00,NU,0.07070772972743197,0.029000323348095276,0.04422765209097865,0.0068876206173236094,0.002420820052238213,0.0009579143188105623
College,1.1502496605837662,0.5068981901226839,#009E73,"TR_{0,5}",0.0629594227089744,0.07049822594415173,0.040298294773788344,0.025205417322941567,0.0022057449456895774,0.0035055110475326434
College,1.1943747958957194,0.41412413206535853,#009E73,"TR_{5,5}",0.06537463146007808,0.05759542488049394,0.04340623495959085,0.02067056709638535,0.0023758594231090635,0.0028748145839740105
College,1.1866993134950694,0.38017073874193613,#009E73,"TR_{10,5}",0.06495451054414356,0.05287326559737251,0.04783365348902195,0.01898995140618369,0.0026181961298745587,0.002641078447286588
College,1.0087131050583689,0.8387785594983044,#CC79A7,SL_{0.1},0.055212356890608286,0.11665537884502969,0.03599937571328188,0.019087092952250785,0.0019704417140548633,0.0026545886684644243
College,1.019703192494121,0.7107504881678168,#CC79A7,SL_{0.25},0.05581390417567762,0.09884953128880505,0.03576355870150265,0.017418499005189807,0.0019575341658630723,0.0024225244879620663
College,1.0119218765460278,0.5485889596514256,#CC79A7,SL_{0.5},0.055387990413825756,0.07629648158462154,0.03529804059213503,0.016473190614011347,0.001932053826741317,0.002291053186926109
College,1.0248876342770696,0.4210822133894866,#CC79A7,SL_{0.75},0.05609767688425386,0.05856313871116956,0.03454079159744829,0.014790547136902506,0.0018906054688880897,0.0020570350303334367
College,1.044830151421456,0.38165764020993165,#CC79A7,SL_{0.9},0.0571892393596013,0.053080060408815945,0.036596727898247625,0.01388946946612667,0.0020031380494750363,0.0019317152354211488
College,1.0194298531331576,0.8625148652709027,#F0E442,ABU,0.05579894282514686,0.11995656926165184,0.04042433907969336,0.0210290575776924,0.0022126440363891614,0.0029246726095942953
College,1.0415763232501403,0.7891595649432157,#E69F00,BABU_{1},0.05701113963892304,0.10975448403532512,0.03897164187776356,0.020487164033082057,0.0021331300140524584,0.0028493073108222253
College,1.0120944496222397,0.6746303262360078,#E69F00,BABU_{3},0.05539743627729847,0.09382602284741229,0.0392518851472574,0.021207631762314043,0.0021484692530629296,0.002949508293486167
