dataset,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,1,1,#3776ab,baseline,20.78597799,15.84265193,0.171422112,0.198063062,3.563176247,3.137844157
Boston,1.156472631,0.051688857,#D55E00,NU,24.03841465,0.81888857,0.165141146,0.01526728,3.432620224,0.241874199
Boston,0.950561495,0.903112572,#F0E442,ABU,19.75835032,14.30769813,0.164044661,0.191736096,3.409828711,3.037608238
Carseats,1,1,#3776ab,baseline,6.114596388,2.449891664,0.059640215,0.127705157,0.364675841,0.312863801
Carseats,1.102679267,0.062831642,#D55E00,NU,6.742438662,0.153930717,0.074660191,0.014683445,0.456516934,0.035972849
Carseats,0.982352685,0.871809115,#F0E442,ABU,6.006690182,2.135837884,0.06235688,0.109067031,0.381287151,0.267202409
College,1,1,#3776ab,baseline,0.054735441,0.041408119,0.076989318,0.103457015,0.004214044,0.00428396
College,1.291808892,0.040299033,#D55E00,NU,0.07070773,0.001668707,0.098896037,0.006913293,0.005413118,0.000286266
College,1.019429853,0.803085452,#F0E442,ABU,0.055798943,0.033254258,0.09039157,0.084576821,0.004947622,0.003502167
Hitters,1,1,#3776ab,baseline,0.282984845,0.131539664,0.144970521,0.151071482,0.041024461,0.019871892
Hitters,1.131657101,0.065564626,#D55E00,NU,0.320241809,0.008624349,0.148148718,0.019909275,0.041923842,0.002618859
Hitters,0.971218993,0.997567,#F0E442,ABU,0.274840256,0.132533304,0.142279619,0.162254378,0.040262976,0.021342886
Wage,1,1,#3776ab,baseline,0.087759063,0.007337808,0.044584108,0.086538918,0.00391266,0.000635006
Wage,1.005032022,0.107442113,#D55E00,NU,0.088200669,0.00078839,0.045763762,0.015952884,0.004016185,0.000117059
Wage,0.993938214,0.787559828,#F0E442,ABU,0.087227087,0.005778963,0.045413402,0.072984589,0.003985438,0.000535547
Boston,1.001910918,0.823233316,#009E73,"TR_{0,5}",20.82569829,13.04219887,0.159558584,0.199170386,3.316581216,3.155387103
Boston,1.07454065,0.673392207,#009E73,"TR_{5,5}",22.33537831,10.66831834,0.175515444,0.198605175,3.648260165,3.146432664
Boston,1.064220448,0.488105215,#009E73,"TR_{10,5}",22.12086282,7.732881029,0.163801866,0.121142931,3.404781988,1.919225284
Boston,1.011292974,0.868130589,#CC79A7,SL_{0.1},21.02071349,13.75349075,0.179856981,0.195088822,3.738503246,3.090724303
Boston,1.025469909,0.647709958,#CC79A7,SL_{0.25},21.31539496,10.26144341,0.184292921,0.139139307,3.8307086,2.20433561
Boston,1.017023901,0.405482765,#CC79A7,SL_{0.5},21.13983643,6.423922309,0.177907861,0.082677106,3.697988882,1.309824613
Boston,1.012185143,0.240340459,#CC79A7,SL_{0.75},21.03925811,3.807630233,0.173456842,0.048067362,3.605470092,0.761514491
Boston,1.01648046,0.207061657,#CC79A7,SL_{0.9},21.12854047,3.280405753,0.177243173,0.036739169,3.684172696,0.58204586
Boston,0.88951349,0.833478701,#E69F00,BABU_{1},18.48940783,13.20451294,0.158896833,0.233703244,3.302826076,3.702479147
Boston,0.857160596,0.645246894,#E69F00,BABU_{3},17.81692128,10.22242195,0.144357307,0.17627621,3.0006078,2.792682631
Boston,0.783782034,0.584547697,#E69F00,BABU_{5},16.29167611,9.260785695,0.11012554,0.180694737,2.289067059,2.86268383
Boston,0.875145596,0.465544594,#E69F00,BABU_{7},18.1907571,7.375460963,0.150747314,0.157179321,3.133430342,2.490137273
Boston,1.000676763,0.509758665,#E69F00,BABU_{10},20.80004517,8.075929091,0.186066247,0.190467404,3.867568916,3.017508784
Boston,1.013377821,0.355885843,#E69F00,BABU_{20},21.06404909,5.638175543,0.219770492,0.207832667,4.568144607,3.292620608
Carseats,1.039514456,0.851035227,#009E73,"TR_{0,5}",6.356211336,2.084944108,0.065969159,0.149008339,0.403374781,0.365054288
Carseats,1.032190376,0.800308075,#009E73,"TR_{5,5}",6.311427545,1.960668083,0.065468647,0.15625944,0.400314352,0.382818699
Carseats,1.056591856,0.70566945,#009E73,"TR_{10,5}",6.46063275,1.728813704,0.071911909,0.154357325,0.439712299,0.378158724
Carseats,0.984427781,0.805725741,#CC79A7,SL_{0.1},6.019378552,1.973940777,0.062552546,0.113715827,0.382483575,0.278591457
Carseats,1.006862288,0.532171274,#CC79A7,SL_{0.25},6.156556509,1.303761968,0.060775391,0.075425628,0.371616986,0.184784618
Carseats,1.035308496,0.309041693,#CC79A7,SL_{0.5},6.33049359,0.757118666,0.067184706,0.051284454,0.410807363,0.125641357
Carseats,1.040166435,0.203635049,#CC79A7,SL_{0.75},6.360197926,0.498883809,0.068284419,0.034018178,0.417531664,0.083340852
Carseats,1.047221453,0.168459199,#CC79A7,SL_{0.9},6.403336517,0.412706788,0.064086476,0.032520461,0.391862936,0.079671606
Carseats,1.001415102,0.679869616,#E69F00,BABU_{1},6.123249167,1.665606906,0.057958621,0.099094546,0.354393573,0.242770903
Carseats,1.032208747,0.450666007,#E69F00,BABU_{3},6.311539874,1.104082894,0.054200423,0.084903074,0.331413709,0.208003333
Carseats,1.060098129,0.310350106,#E69F00,BABU_{5},6.482072192,0.760324138,0.068174074,0.064134765,0.416856948,0.157123225
Carseats,1.048331056,0.259472686,#E69F00,BABU_{7},6.410121291,0.63567997,0.065824424,0.095333583,0.402489788,0.233556951
Carseats,1.066559109,0.16929482,#E69F00,BABU_{10},6.521578476,0.414753969,0.061948268,0.040769841,0.378788655,0.099881694
Carseats,1.094288078,0.10871402,#E69F00,BABU_{20},6.691129933,0.266337571,0.062581575,0.085661905,0.382661075,0.209862386
College,1.150249661,0.431666678,#009E73,"TR_{0,5}",0.062959423,0.017874505,0.090109726,0.101473909,0.004932196,0.004201844
College,1.194374796,0.316094011,#009E73,"TR_{5,5}",0.065374631,0.013088858,0.097059292,0.078998189,0.005312583,0.003271166
College,1.186699313,0.296887691,#009E73,"TR_{10,5}",0.064954511,0.012293561,0.106959301,0.077566335,0.005854465,0.003211876
College,1.008713105,0.769673232,#CC79A7,SL_{0.1},0.055212357,0.031870721,0.080497051,0.083808822,0.004406042,0.003470366
College,1.019703192,0.600416089,#CC79A7,SL_{0.25},0.055813904,0.024862101,0.079969748,0.071300277,0.004377179,0.00295241
College,1.011921877,0.381803318,#CC79A7,SL_{0.5},0.05538799,0.015809757,0.078928818,0.05693151,0.004320204,0.002357427
College,1.024887634,0.240769709,#CC79A7,SL_{0.75},0.056097677,0.009969821,0.077235558,0.039025204,0.004227522,0.00161596
College,1.044830151,0.201376422,#CC79A7,SL_{0.9},0.057189239,0.008338619,0.081832771,0.038514409,0.004479153,0.001594809
College,1.041576323,0.744461226,#E69F00,BABU_{1},0.05701114,0.030826739,0.08714324,0.092698701,0.004769824,0.003838479
College,1.01209445,0.601782076,#E69F00,BABU_{3},0.055397436,0.024918664,0.087769883,0.091980375,0.004804123,0.003808734
College,1.038575293,0.514082019,#E69F00,BABU_{5},0.056846877,0.021287169,0.080038212,0.074866408,0.004380927,0.003100077
College,1.040096816,0.392339806,#E69F00,BABU_{7},0.056930158,0.016246053,0.091968186,0.069070421,0.005033919,0.002860076
College,1.062037214,0.344923867,#E69F00,BABU_{10},0.058131076,0.014282648,0.078625645,0.071266598,0.004303609,0.002951016
College,1.122291638,0.198276829,#E69F00,BABU_{20},0.061429128,0.00821027,0.08408307,0.055842299,0.004602324,0.002312325
Hitters,1.073700645,0.475926363,#009E73,"TR_{0,5}",0.30384101,0.062603194,0.152822828,0.110422183,0.043246544,0.014524897
Hitters,1.079434118,0.421236798,#009E73,"TR_{5,5}",0.305463496,0.055409347,0.148137215,0.111647647,0.041920587,0.014686094
Hitters,1.057006715,0.370721036,#009E73,"TR_{10,5}",0.299116881,0.048764521,0.145828206,0.105153169,0.041267172,0.013831813
Hitters,0.988217359,0.854597623,#CC79A7,SL_{0.1},0.279650536,0.112413484,0.141217939,0.122458977,0.039962537,0.016108213
Hitters,1.030469544,0.633414901,#CC79A7,SL_{0.25},0.291607264,0.083319183,0.144187378,0.111301072,0.040802843,0.014640506
Hitters,1.014471767,0.366641722,#CC79A7,SL_{0.5},0.287080135,0.048227929,0.147340654,0.060708006,0.041695172,0.007985511
Hitters,1.023782619,0.253627567,#CC79A7,SL_{0.75},0.289714966,0.033362085,0.148946083,0.049871568,0.042149484,0.006560089
Hitters,1.046458348,0.201222058,#CC79A7,SL_{0.9},0.296131853,0.026468682,0.14831867,0.036082772,0.041971936,0.004746316
Hitters,0.930201333,0.88111882,#E69F00,BABU_{1},0.26323288,0.115902074,0.138138609,0.161243889,0.039091133,0.021209967
Hitters,0.896918437,0.66739997,#E69F00,BABU_{3},0.253814325,0.087789568,0.106493864,0.145697441,0.03013615,0.019164992
Hitters,0.933303689,0.592645175,#E69F00,BABU_{5},0.2641108,0.077956347,0.118118964,0.136493026,0.033425877,0.017954247
Hitters,0.899997085,0.443661958,#E69F00,BABU_{7},0.254685535,0.058359145,0.1153468,0.122085801,0.032641396,0.016059125
Hitters,0.935577038,0.331883902,#E69F00,BABU_{10},0.264754123,0.043655897,0.117868789,0.089202611,0.033355081,0.011733681
Hitters,0.935982915,0.215591976,#E69F00,BABU_{20},0.26486898,0.028358896,0.114529409,0.066217233,0.032410087,0.008710193
Wage,1.000833854,0.891746824,#009E73,"TR_{0,5}",0.087832242,0.006543467,0.044877802,0.102406044,0.003938434,0.000751436
Wage,1.000362415,0.751867259,#009E73,"TR_{5,5}",0.087790869,0.005517057,0.045147926,0.098988813,0.00396214,0.000726361
Wage,1.001967274,0.702815994,#009E73,"TR_{10,5}",0.08793171,0.005157129,0.045962307,0.101470844,0.004033609,0.000744574
Wage,0.994010771,0.790854972,#CC79A7,SL_{0.1},0.087233454,0.005803142,0.045203188,0.071376942,0.003966989,0.00052375
Wage,0.994211507,0.577405612,#CC79A7,SL_{0.25},0.087251071,0.004236891,0.044940307,0.060412912,0.003943919,0.000443298
Wage,0.993154634,0.339877605,#CC79A7,SL_{0.5},0.087158321,0.002493956,0.044878704,0.039270156,0.003938513,0.000288157
Wage,0.993582076,0.229382409,#CC79A7,SL_{0.75},0.087195832,0.001683164,0.04478052,0.025081983,0.003929897,0.000184047
Wage,0.995615103,0.202622342,#CC79A7,SL_{0.9},0.087374249,0.001486804,0.044964541,0.025907274,0.003946046,0.000190103
Wage,0.993925998,0.597439831,#E69F00,BABU_{1},0.087226015,0.004383899,0.043976113,0.062767254,0.003859303,0.000460574
Wage,0.996705841,0.397329566,#E69F00,BABU_{3},0.087469971,0.002915528,0.044356821,0.047278504,0.003892713,0.000346921
Wage,0.998359914,0.295823278,#E69F00,BABU_{5},0.087615131,0.002170694,0.043549968,0.039390057,0.003821904,0.000289037
Wage,1.002614282,0.219881218,#E69F00,BABU_{7},0.08798849,0.001613446,0.044470364,0.030012104,0.003902677,0.000220223
Wage,1.004940706,0.174573919,#E69F00,BABU_{10},0.088192655,0.00128099,0.044693108,0.03716898,0.003922225,0.000272739
Wage,1.013362949,0.084515559,#E69F00,BABU_{20},0.088931783,0.000620159,0.045090883,0.029782065,0.003957134,0.000218535
